Area Name,Type,Value
Glasgow City,Owns with a mortgage or loan or shared ownership,81550
Highland,Owns with a mortgage or loan or shared ownership,31884
Inverclyde,Owns with a mortgage or loan or shared ownership,13288
Midlothian,Owns with a mortgage or loan or shared ownership,13069
Moray,Owns with a mortgage or loan or shared ownership,12439
North Ayrshire,Owns with a mortgage or loan or shared ownership,21075
North Lanarkshire,Owns with a mortgage or loan or shared ownership,57496
Orkney Islands,Owns with a mortgage or loan or shared ownership,2621
Perth and Kinross,Owns with a mortgage or loan or shared ownership,20595
Renfrewshire,Owns with a mortgage or loan or shared ownership,31878
Scottish Borders,Owns with a mortgage or loan or shared ownership,14854
Shetland Islands,Owns with a mortgage or loan or shared ownership,2779
South Ayrshire,Owns with a mortgage or loan or shared ownership,17375
South Lanarkshire,Owns with a mortgage or loan or shared ownership,57135
Stirling,Owns with a mortgage or loan or shared ownership,12802
West Dunbartonshire,Owns with a mortgage or loan or shared ownership,14426
West Lothian,Owns with a mortgage or loan or shared ownership,30014
Antrim,Owns with a mortgage or loan or shared ownership,8161
Ards,Owns with a mortgage or loan or shared ownership,12346
Armagh,Owns with a mortgage or loan or shared ownership,7548
Ballymena,Owns with a mortgage or loan or shared ownership,8294
Ballymoney,Owns with a mortgage or loan or shared ownership,4033
Banbridge,Owns with a mortgage or loan or shared ownership,7329
Belfast,Owns with a mortgage or loan or shared ownership,35115
Carrickfergus,Owns with a mortgage or loan or shared ownership,6943
Castlereagh,Owns with a mortgage or loan or shared ownership,11540
Coleraine,Owns with a mortgage or loan or shared ownership,7108
Cookstown,Owns with a mortgage or loan or shared ownership,4395
Craigavon,Owns with a mortgage or loan or shared ownership,13406
Derry,Owns with a mortgage or loan or shared ownership,13760
Down,Owns with a mortgage or loan or shared ownership,9540
Dungannon,Owns with a mortgage or loan or shared ownership,6568
Fermanagh,Owns with a mortgage or loan or shared ownership,6935
Larne,Owns with a mortgage or loan or shared ownership,4870
Limavady,Owns with a mortgage or loan or shared ownership,4367
Lisburn,Owns with a mortgage or loan or shared ownership,18968
Magherafelt,Owns with a mortgage or loan or shared ownership,5119
Moyle,Owns with a mortgage or loan or shared ownership,1798
Newry and Mourne,Owns with a mortgage or loan or shared ownership,12352
Newtownabbey,Owns with a mortgage or loan or shared ownership,14740
North Down,Owns with a mortgage or loan or shared ownership,13438
Omagh,Owns with a mortgage or loan or shared ownership,5668
Strabane,Owns with a mortgage or loan or shared ownership,4565
Darlington,Social Rented,14456
County Durham,Social Rented,90008
Hartlepool,Social Rented,19030
Middlesbrough,Social Rented,27308
Northumberland,Social Rented,51682
Redcar and Cleveland,Social Rented,23136
Stockton-on-Tees,Social Rented,27250
Gateshead,Social Rented,49882
Newcastle upon Tyne,Social Rented,69700
North Tyneside,Social Rented,39354
South Tyneside,Social Rented,42408
Sunderland,Social Rented,64798
Blackburn with Darwen,Social Rented,20782
Blackpool,Social Rented,13998
Cheshire East,Social Rented,36282
Cheshire West and Chester,Social Rented,41616
Halton,Social Rented,26882
Warrington,Social Rented,26636
Cumbria,Social Rented,63556
Bolton,Social Rented,47650
Bury,Social Rented,23406
Manchester,Social Rented,129364
Oldham,Social Rented,37836
Rochdale,Social Rented,40494
Salford,Social Rented,59638
Stockport,Social Rented,33240
Tameside,Social Rented,40876
Trafford,Social Rented,30970
Wigan,Social Rented,51606
Lancashire,Social Rented,120516
Knowsley,Social Rented,32666
Liverpool,Social Rented,114970
Sefton,Social Rented,34126
St. Helens,Social Rented,31194
Wirral,Social Rented,42658
East Riding of Yorkshire,Social Rented,26056
"Kingston upon Hull, City of",Social Rented,63268
North East Lincolnshire,Social Rented,20182
North Lincolnshire,Social Rented,21790
York,Social Rented,23358
North Yorkshire,Social Rented,57294
Barnsley,Social Rented,42064
Doncaster,Social Rented,44806
Rotherham,Social Rented,46578
Sheffield,Social Rented,113834
Bradford,Social Rented,59026
Calderdale,Social Rented,26988
Kirklees,Social Rented,53050
Leeds,Social Rented,140754
Wakefield,Social Rented,66258
Derby,Social Rented,40500
Leicester,Social Rented,62540
Nottingham,Social Rented,74972
Rutland,Social Rented,3370
Derbyshire,Social Rented,101910
Leicestershire,Social Rented,56034
Lincolnshire,Social Rented,83536
Northamptonshire,Social Rented,87816
Nottinghamshire,Social Rented,90168
"Herefordshire, County of",Social Rented,21806
Shropshire,Social Rented,34896
Stoke-on-Trent,Social Rented,51998
Telford and Wrekin,Social Rented,26212
Staffordshire,Social Rented,104302
Warwickshire,Social Rented,63848
Birmingham,Social Rented,199184
Coventry,Social Rented,43828
Dudley,Social Rented,51438
Sandwell,Social Rented,66878
Solihull,Social Rented,25668
Walsall,Social Rented,51934
Wolverhampton,Social Rented,57296
Worcestershire,Social Rented,71052
Bedford,Social Rented,20504
Central Bedfordshire,Social Rented,27962
Luton,Social Rented,23430
Peterborough,Social Rented,28868
Southend-on-Sea,Social Rented,17194
Thurrock,Social Rented,23006
Cambridgeshire,Social Rented,77012
Essex,Social Rented,166804
Hertfordshire,Social Rented,165086
Norfolk,Social Rented,118594
Suffolk,Social Rented,92202
Camden,Social Rented,64590
City of London,Social Rented,1450
Hackney,Social Rented,88860
Hammersmith and Fulham,Social Rented,50266
Haringey,Social Rented,54484
Islington,Social Rented,78684
Kensington and Chelsea,Social Rented,38542
Lambeth,Social Rented,91238
Lewisham,Social Rented,72104
Newham,Social Rented,60184
Southwark,Social Rented,105288
Tower Hamlets,Social Rented,80212
Wandsworth,Social Rented,53032
Westminster,Social Rented,54696
Barking and Dagenham,Social Rented,46918
Barnet,Social Rented,38668
Bexley,Social Rented,26754
Brent,Social Rented,53182
Bromley,Social Rented,36850
Croydon,Social Rented,51774
Ealing,Social Rented,44944
Enfield,Social Rented,42146
Greenwich,Social Rented,69324
Harrow,Social Rented,17846
Havering,Social Rented,27598
Hillingdon,Social Rented,33504
Hounslow,Social Rented,43364
Kingston upon Thames,Social Rented,15004
Merton,Social Rented,22204
Redbridge,Social Rented,22578
Richmond upon Thames,Social Rented,20102
Sutton,Social Rented,22844
Waltham Forest,Social Rented,42752
Bracknell Forest,Social Rented,15356
Brighton and Hove,Social Rented,36374
Isle of Wight,Social Rented,13046
Medway,Social Rented,27992
Milton Keynes,Social Rented,35526
Portsmouth,Social Rented,31222
Reading,Social Rented,20484
Slough,Social Rented,20952
Southampton,Social Rented,45734
West Berkshire,Social Rented,17256
Windsor and Maidenhead,Social Rented,15496
Wokingham,Social Rented,8472
Buckinghamshire,Social Rented,50942
East Sussex,Social Rented,51200
Hampshire,Social Rented,150514
Kent,Social Rented,168254
Oxfordshire,Social Rented,73666
Surrey,Social Rented,104172
West Sussex,Social Rented,88288
Bath and North East Somerset,Social Rented,21228
Bournemouth,Social Rented,18412
"Bristol, City of",Social Rented,74166
Cornwall,Social Rented,55310
Isles of Scilly,Social Rented,358
North Somerset,Social Rented,16206
Plymouth,Social Rented,42190
Poole,Social Rented,14648
South Gloucestershire,Social Rented,21266
Swindon,Social Rented,28764
Torbay,Social Rented,9524
Wiltshire,Social Rented,57182
Devon,Social Rented,72084
Dorset,Social Rented,44536
Gloucestershire,Social Rented,65706
Somerset,Social Rented,61460
Isle of Anglesey,Social Rented,8974
Gwynedd,Social Rented,17122
Conwy,Social Rented,11892
Denbighshire,Social Rented,10650
Flintshire,Social Rented,19302
Wrexham,Social Rented,25606
Powys,Social Rented,16322
Ceredigion,Social Rented,6392
Pembrokeshire,Social Rented,16624
Carmarthenshire,Social Rented,23344
Swansea,Social Rented,39756
Neath Port Talbot,Social Rented,23090
Bridgend,Social Rented,16198
Vale of Glamorgan,Social Rented,12708
Cardiff,Social Rented,48748
Rhondda Cynon Taff,Social Rented,27346
Merthyr Tydfil,Social Rented,10236
Caerphilly,Social Rented,27924
Blaenau Gwent,Social Rented,14568
Torfaen,Social Rented,18200
Monmouthshire,Social Rented,10576
Newport,Social Rented,24244
Aberdeen City,Social Rented,50368
Aberdeenshire,Social Rented,33788
Angus,Social Rented,22188
Argyll and Bute,Social Rented,15172
Clackmannanshire,Social Rented,13004
Dumfries and Galloway,Social Rented,26712
Dundee City,Social Rented,41594
East Ayrshire,Social Rented,31158
East Dunbartonshire,Social Rented,10438
East Lothian,Social Rented,20342
East Renfrewshire,Social Rented,8640
City of Edinburgh,Social Rented,75912
Na h-Eileanan Siar,Social Rented,4424
Falkirk,Social Rented,37190
Fife,Social Rented,73914
Glasgow City,Social Rented,209622
Highland,Social Rented,38636
Inverclyde,Social Rented,20186
Midlothian,Social Rented,18634
Moray,Social Rented,15506
North Ayrshire,Social Rented,34846
North Lanarkshire,Social Rented,90832
Orkney Islands,Social Rented,2690
Perth and Kinross,Social Rented,22240
Renfrewshire,Social Rented,39746
Scottish Borders,Social Rented,22900
Shetland Islands,Social Rented,4712
South Ayrshire,Social Rented,19670
South Lanarkshire,Social Rented,62976
Stirling,Social Rented,14938
West Dunbartonshire,Social Rented,31416
West Lothian,Social Rented,38444
Antrim,Social Rented,4770
Ards,Social Rented,8188
Armagh,Social Rented,4058
Ballymena,Social Rented,5556
Ballymoney,Social Rented,2874
Banbridge,Social Rented,3612
Belfast,Social Rented,61636
Carrickfergus,Social Rented,4428
Castlereagh,Social Rented,7764
Coleraine,Social Rented,6470
Cookstown,Social Rented,2104
Craigavon,Social Rented,9420
Derry,Social Rented,18542
Down,Social Rented,5150
Dungannon,Social Rented,4166
Fermanagh,Social Rented,4340
Larne,Social Rented,2848
Limavady,Social Rented,3114
Lisburn,Social Rented,15398
Magherafelt,Social Rented,2556
Moyle,Social Rented,1780
Newry and Mourne,Social Rented,7180
Newtownabbey,Social Rented,8962
North Down,Social Rented,6552
Omagh,Social Rented,3626
Strabane,Social Rented,4676
Darlington,Private Rent/Rent Free,17488
County Durham,Private Rent/Rent Free,59106
Hartlepool,Private Rent/Rent Free,12496
Middlesbrough,Private Rent/Rent Free,19999
Northumberland,Private Rent/Rent Free,39393
Redcar and Cleveland,Private Rent/Rent Free,15510
Stockton-on-Tees,Private Rent/Rent Free,21441
Gateshead,Private Rent/Rent Free,23060
Newcastle upon Tyne,Private Rent/Rent Free,46177
North Tyneside,Private Rent/Rent Free,23408
South Tyneside,Private Rent/Rent Free,14091
Sunderland,Private Rent/Rent Free,29993
Blackburn with Darwen,Private Rent/Rent Free,18872
Blackpool,Private Rent/Rent Free,34249
Cheshire East,Private Rent/Rent Free,41693
Cheshire West and Chester,Private Rent/Rent Free,37175
Halton,Private Rent/Rent Free,10965
Warrington,Private Rent/Rent Free,19819
Cumbria,Private Rent/Rent Free,60589
Bolton,Private Rent/Rent Free,33701
Bury,Private Rent/Rent Free,22542
Manchester,Private Rent/Rent Free,119581
Oldham,Private Rent/Rent Free,23118
Rochdale,Private Rent/Rent Free,24372
Salford,Private Rent/Rent Free,40523
Stockport,Private Rent/Rent Free,28908
Tameside,Private Rent/Rent Free,26221
Trafford,Private Rent/Rent Free,24990
Wigan,Private Rent/Rent Free,33568
Lancashire,Private Rent/Rent Free,156354
Knowsley,Private Rent/Rent Free,12760
Liverpool,Private Rent/Rent Free,99277
Sefton,Private Rent/Rent Free,32870
St. Helens,Private Rent/Rent Free,16496
Wirral,Private Rent/Rent Free,45973
East Riding of Yorkshire,Private Rent/Rent Free,41513
"Kingston upon Hull, City of",Private Rent/Rent Free,47656
North East Lincolnshire,Private Rent/Rent Free,25960
North Lincolnshire,Private Rent/Rent Free,19950
York,Private Rent/Rent Free,30995
North Yorkshire,Private Rent/Rent Free,90957
Barnsley,Private Rent/Rent Free,27306
Doncaster,Private Rent/Rent Free,39680
Rotherham,Private Rent/Rent Free,26347
Sheffield,Private Rent/Rent Free,73763
Bradford,Private Rent/Rent Free,75138
Calderdale,Private Rent/Rent Free,30294
Kirklees,Private Rent/Rent Free,56968
Leeds,Private Rent/Rent Free,119766
Wakefield,Private Rent/Rent Free,33361
Derby,Private Rent/Rent Free,35585
Leicester,Private Rent/Rent Free,57910
Nottingham,Private Rent/Rent Free,60090
Rutland,Private Rent/Rent Free,4934
Derbyshire,Private Rent/Rent Free,84085
Leicestershire,Private Rent/Rent Free,66790
Lincolnshire,Private Rent/Rent Free,100264
Northamptonshire,Private Rent/Rent Free,88192
Nottinghamshire,Private Rent/Rent Free,92365
"Herefordshire, County of",Private Rent/Rent Free,25779
Shropshire,Private Rent/Rent Free,41129
Stoke-on-Trent,Private Rent/Rent Free,32669
Telford and Wrekin,Private Rent/Rent Free,20772
Staffordshire,Private Rent/Rent Free,84529
Warwickshire,Private Rent/Rent Free,67965
Birmingham,Private Rent/Rent Free,153993
Coventry,Private Rent/Rent Free,54551
Dudley,Private Rent/Rent Free,26141
Sandwell,Private Rent/Rent Free,33897
Solihull,Private Rent/Rent Free,17638
Walsall,Private Rent/Rent Free,26558
Wolverhampton,Private Rent/Rent Free,28753
Worcestershire,Private Rent/Rent Free,62711
Bedford,Private Rent/Rent Free,21068
Central Bedfordshire,Private Rent/Rent Free,26413
Luton,Private Rent/Rent Free,34410
Peterborough,Private Rent/Rent Free,29191
Southend-on-Sea,Private Rent/Rent Free,33548
Thurrock,Private Rent/Rent Free,18042
Cambridgeshire,Private Rent/Rent Free,83998
Essex,Private Rent/Rent Free,153761
Hertfordshire,Private Rent/Rent Free,123378
Norfolk,Private Rent/Rent Free,117430
Suffolk,Private Rent/Rent Free,102071
Camden,Private Rent/Rent Free,64631
City of London,Private Rent/Rent Free,3365
Hackney,Private Rent/Rent Free,60156
Hammersmith and Fulham,Private Rent/Rent Free,52358
Haringey,Private Rent/Rent Free,65672
Islington,Private Rent/Rent Free,51660
Kensington and Chelsea,Private Rent/Rent Free,58666
Lambeth,Private Rent/Rent Free,77659
Lewisham,Private Rent/Rent Free,57591
Newham,Private Rent/Rent Free,70369
Southwark,Private Rent/Rent Free,58488
Tower Hamlets,Private Rent/Rent Free,67180
Wandsworth,Private Rent/Rent Free,83990
Westminster,Private Rent/Rent Free,87201
Barking and Dagenham,Private Rent/Rent Free,25320
Barnet,Private Rent/Rent Free,71895
Bexley,Private Rent/Rent Free,21875
Brent,Private Rent/Rent Free,67916
Bromley,Private Rent/Rent Free,36009
Croydon,Private Rent/Rent Free,62510
Ealing,Private Rent/Rent Free,70198
Enfield,Private Rent/Rent Free,54885
Greenwich,Private Rent/Rent Free,41088
Harrow,Private Rent/Rent Free,37847
Havering,Private Rent/Rent Free,21453
Hillingdon,Private Rent/Rent Free,37312
Hounslow,Private Rent/Rent Free,45619
Kingston upon Thames,Private Rent/Rent Free,29253
Merton,Private Rent/Rent Free,39798
Redbridge,Private Rent/Rent Free,46487
Richmond upon Thames,Private Rent/Rent Free,35873
Sutton,Private Rent/Rent Free,25418
Waltham Forest,Private Rent/Rent Free,51208
Bracknell Forest,Private Rent/Rent Free,11988
Brighton and Hove,Private Rent/Rent Free,73477
Isle of Wight,Private Rent/Rent Free,22022
Medway,Private Rent/Rent Free,37399
Milton Keynes,Private Rent/Rent Free,34989
Portsmouth,Private Rent/Rent Free,43238
Reading,Private Rent/Rent Free,33412
Slough,Private Rent/Rent Free,25197
Southampton,Private Rent/Rent Free,49950
West Berkshire,Private Rent/Rent Free,18137
Windsor and Maidenhead,Private Rent/Rent Free,19999
Wokingham,Private Rent/Rent Free,14069
Buckinghamshire,Private Rent/Rent Free,54333
East Sussex,Private Rent/Rent Free,85433
Hampshire,Private Rent/Rent Free,143404
Kent,Private Rent/Rent Free,208347
Oxfordshire,Private Rent/Rent Free,94778
Surrey,Private Rent/Rent Free,128267
West Sussex,Private Rent/Rent Free,104346
Bath and North East Somerset,Private Rent/Rent Free,25912
Bournemouth,Private Rent/Rent Free,50227
"Bristol, City of",Private Rent/Rent Free,88599
Cornwall,Private Rent/Rent Free,81058
Isles of Scilly,Private Rent/Rent Free,684
North Somerset,Private Rent/Rent Free,29487
Plymouth,Private Rent/Rent Free,45240
Poole,Private Rent/Rent Free,21222
South Gloucestershire,Private Rent/Rent Free,30422
Swindon,Private Rent/Rent Free,29127
Torbay,Private Rent/Rent Free,27966
Wiltshire,Private Rent/Rent Free,63025
Devon,Private Rent/Rent Free,110097
Dorset,Private Rent/Rent Free,50959
Gloucestershire,Private Rent/Rent Free,82035
Somerset,Private Rent/Rent Free,70121
Isle of Anglesey,Private Rent/Rent Free,9397
Gwynedd,Private Rent/Rent Free,17477
Conwy,Private Rent/Rent Free,17886
Denbighshire,Private Rent/Rent Free,13608
Flintshire,Private Rent/Rent Free,14068
Wrexham,Private Rent/Rent Free,14518
Powys,Private Rent/Rent Free,18553
Ceredigion,Private Rent/Rent Free,13208
Pembrokeshire,Private Rent/Rent Free,15300
Carmarthenshire,Private Rent/Rent Free,19954
Swansea,Private Rent/Rent Free,32312
Neath Port Talbot,Private Rent/Rent Free,13444
Bridgend,Private Rent/Rent Free,15113
Vale of Glamorgan,Private Rent/Rent Free,16192
Cardiff,Private Rent/Rent Free,64502
Rhondda Cynon Taff,Private Rent/Rent Free,28684
Merthyr Tydfil,Private Rent/Rent Free,6070
Caerphilly,Private Rent/Rent Free,16664
Blaenau Gwent,Private Rent/Rent Free,8100
Torfaen,Private Rent/Rent Free,7022
Monmouthshire,Private Rent/Rent Free,8792
Newport,Private Rent/Rent Free,18025
Aberdeen City,Private Rent/Rent Free,36560
Aberdeenshire,Private Rent/Rent Free,21638
Angus,Private Rent/Rent Free,13012
Argyll and Bute,Private Rent/Rent Free,10889
Clackmannanshire,Private Rent/Rent Free,4002
Dumfries and Galloway,Private Rent/Rent Free,20201
Dundee City,Private Rent/Rent Free,26432
East Ayrshire,Private Rent/Rent Free,9354
East Dunbartonshire,Private Rent/Rent Free,5401
East Lothian,Private Rent/Rent Free,8734
East Renfrewshire,Private Rent/Rent Free,4448
City of Edinburgh,Private Rent/Rent Free,102154
Na h-Eileanan Siar,Private Rent/Rent Free,2031
Falkirk,Private Rent/Rent Free,10650
Fife,Private Rent/Rent Free,37680
Glasgow City,Private Rent/Rent Free,98684
Highland,Private Rent/Rent Free,25966
Inverclyde,Private Rent/Rent Free,8119
Midlothian,Private Rent/Rent Free,5537
Moray,Private Rent/Rent Free,10956
North Ayrshire,Private Rent/Rent Free,11856
North Lanarkshire,Private Rent/Rent Free,22415
Orkney Islands,Private Rent/Rent Free,2562
Perth and Kinross,Private Rent/Rent Free,20437
Renfrewshire,Private Rent/Rent Free,16705
Scottish Borders,Private Rent/Rent Free,15959
Shetland Islands,Private Rent/Rent Free,1942
South Ayrshire,Private Rent/Rent Free,11397
South Lanarkshire,Private Rent/Rent Free,24031
Stirling,Private Rent/Rent Free,9810
West Dunbartonshire,Private Rent/Rent Free,5829
West Lothian,Private Rent/Rent Free,14873
Antrim,Private Rent/Rent Free,6124
Ards,Private Rent/Rent Free,7493
Armagh,Private Rent/Rent Free,6666
Ballymena,Private Rent/Rent Free,7684
Ballymoney,Private Rent/Rent Free,3572
Banbridge,Private Rent/Rent Free,5344
Belfast,Private Rent/Rent Free,50390
Carrickfergus,Private Rent/Rent Free,4162
Castlereagh,Private Rent/Rent Free,5391
Coleraine,Private Rent/Rent Free,8715
Cookstown,Private Rent/Rent Free,4408
Craigavon,Private Rent/Rent Free,13760
Derry,Private Rent/Rent Free,14888
Down,Private Rent/Rent Free,9177
Dungannon,Private Rent/Rent Free,7719
Fermanagh,Private Rent/Rent Free,7478
Larne,Private Rent/Rent Free,4159
Limavady,Private Rent/Rent Free,4002
Lisburn,Private Rent/Rent Free,9683
Magherafelt,Private Rent/Rent Free,4824
Moyle,Private Rent/Rent Free,2283
Newry and Mourne,Private Rent/Rent Free,12825
Newtownabbey,Private Rent/Rent Free,7854
North Down,Private Rent/Rent Free,9159
Omagh,Private Rent/Rent Free,6805
Strabane,Private Rent/Rent Free,5090
