Region name ,Local Authority Code,Local authority name,cx,cy,Year,Median House Price,Median House Earnings,Affordability Ratio
East Midlands,E06000016,Leicester,-1.694306732,53.12866005,2011,121500,21323,5.7
East Midlands,E06000017,Rutland,-1.347167505,52.93521496,2011,205000,25925,7.91
East Midlands,E06000018,Nottingham,-1.873781106,53.37334676,2011,98000,23000,4.26
East Midlands,E07000032,Amber Valley,-1.447689952,53.22607587,2011,130000,24719,5.26
East Midlands,E07000033,Bolsover,-1.559800243,52.83078401,2011,95000,21716,4.37
East Midlands,E07000034,Chesterfield,-3.223581574,50.76412007,2011,118925,24226,4.91
East Midlands,E07000035,Derbyshire Dales,-3.510156903,50.72184259,2011,205000,28501,7.19
East Midlands,E07000036,Erewash,-3.556215665,50.87581723,2011,119000,24368,4.88
East Midlands,E07000037,High Peak,-3.914595449,51.06972399,2011,145000,25949,5.59
East Midlands,E07000038,North East Derbyshire,-3.823395708,50.37345689,2011,145000,25725,5.64
East Midlands,E07000039,South Derbyshire,-3.656907725,50.6063386,2011,142500,24722,5.76
East Midlands,E07000129,Blaby,-4.248486013,50.88591211,2011,155000,27190,5.7
East Midlands,E07000130,Charnwood,-4.045973588,50.65587486,2011,154625,25404,6.09
East Midlands,E07000131,Harborough,0.26546236,50.77531616,2011,185000,29942,6.18
East Midlands,E07000132,Hinckley and Bosworth,0.570346392,50.8694871,2011,149248,25634,5.82
East Midlands,E07000133,Melton,0.005264897,50.88150528,2011,157000,23530,6.67
East Midlands,E07000134,North West Leicestershire,0.538581664,50.95178525,2011,145000,24758,5.86
East Midlands,E07000135,Oadby and Wigston,0.197874462,50.96758569,2011,150000,26598,5.64
East Midlands,E07000136,Boston,0.465679283,51.59033466,2011,120000,20444,5.87
East Midlands,E07000137,East Lindsey,0.590114655,51.942004,2011,134000,22227,6.03
East Midlands,E07000138,Lincoln,0.310749909,51.63854708,2011,119998,22919,5.24
East Midlands,E07000139,North Kesteven,0.593693535,51.53628576,2011,143000,21862,6.54
East Midlands,E07000140,South Holland,0.480997185,51.72544859,2011,133000,23384,5.69
East Midlands,E07000141,South Kesteven,0.86138368,51.87261073,2011,153000,26251,5.83
East Midlands,E07000142,West Lindsey,0.14822602,51.70876461,2011,140000,24385,5.74
East Midlands,E06000061,North Northamptonshire,0.108905467,51.76897982,2011,135000,24936,5.41
East Midlands,E06000062,West Northamptonshire,0.783836065,51.70919684,2011,160000,26419,6.06
East Midlands,E07000170,Ashfield,0.810140477,51.59115862,2011,110995,21020,5.28
East Midlands,E07000171,Bassetlaw,1.115496807,51.87126931,2011,125000,23720,5.27
East Midlands,E07000172,Broxtowe,0.279512164,51.93486071,2011,132000,24880,5.31
East Midlands,E07000173,Gedling,-2.072887206,51.89628748,2011,132000,25034,5.27
East Midlands,E07000174,Mansfield,-1.892465444,51.81643589,2011,108800,20519,5.3
East Midlands,E07000175,Newark and Sherwood,-2.489829872,51.82865316,2011,135000,22259,6.06
East Midlands,E07000176,Rushcliffe,-2.240448274,51.84987819,2011,192500,32558,5.91
West Midlands,E06000019,"Herefordshire, County of",-2.300134096,51.72963652,2011,180000,20561,8.75
West Midlands,E06000020,Telford and Wrekin,-2.088020906,51.94558768,2011,138000,22802,6.05
West Midlands,E06000021,Stoke-on-Trent,-1.201244159,51.27348604,2011,85000,21223,4.01
West Midlands,E06000051,Shropshire,-0.95483852,51.0744378,2011,170000,25078,6.78
West Midlands,E07000192,Cannock Chase,-1.327904779,50.93309664,2011,125000,23926,5.22
West Midlands,E07000193,East Staffordshire,-1.226221305,50.8524203,2011,135000,23967,5.63
West Midlands,E07000194,Lichfield,-1.158812768,50.80548305,2011,178000,27653,6.44
West Midlands,E07000195,Newcastle-under-Lyme,-0.897883065,51.28474992,2011,120000,22394,5.36
West Midlands,E07000196,South Staffordshire,-0.989837407,50.83874512,2011,170250,26304,6.47
West Midlands,E07000197,Stafford,-1.625525482,50.85859358,2011,160000,25856,6.19
West Midlands,E07000198,Staffordshire Moorlands,-0.767550882,51.27424876,2011,136000,24917,5.46
West Midlands,E07000199,Tamworth,-1.511029682,51.1284833,2011,135000,25556,5.28
West Midlands,E07000218,North Warwickshire,-1.221369927,51.02823248,2011,142500,26548,5.37
West Midlands,E07000219,Nuneaton and Bedworth,-0.048278215,51.72431754,2011,125000,25150,4.97
West Midlands,E07000220,Rugby,-0.540983785,51.77833683,2011,154000,26937,5.72
West Midlands,E07000221,Stratford-on-Avon,-0.280656855,51.67740519,2011,233500,27935,8.36
West Midlands,E07000222,Warwick,-0.192412242,51.95931788,2011,205000,28619,7.16
West Midlands,E07000234,Bromsgrove,-0.460778533,51.66126119,2011,203950,29633,6.88
West Midlands,E07000235,Malvern Hills,-0.402759346,51.66808894,2011,210000,23339,9
West Midlands,E07000236,Redditch,0.81191686,51.12520995,2011,142750,22164,6.44
West Midlands,E07000237,Worcester,1.101422554,51.28328431,2011,157500,26034,6.05
West Midlands,E07000238,Wychavon,0.2540746,51.43142598,2011,200000,26595,7.52
